,Athlete,Country,Medal,Olympic,Sport
17199,"HUSTER, Marc",['GER'],"[['Silver'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Weightlifting']
17200,"CARUSO, Oliver",['GER'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Weightlifting']
17201,"PETROV, Aleksey","['RUS', 'RUS']","[['Gold', 'Bronze'], [1, 1]]","[['Atlanta', 'Sydney'], [1996, 2000]]","['Weightlifting', 'Weightlifting']"
17202,"KOKAS, Leonidas",['GRE'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Weightlifting']
17203,"HORDIYCHUK, Mykola",['UKR'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Weightlifting']
17204,"VILA, Alexis",['CUB'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17205,"MKRCHYAN, Armen",['ARM'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17206,"DEMIR, Mahmut",['TUR'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17207,"MEDVEDEV, Aleksey",['BLR'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17208,"MAMYROV, Maulen",['KAZ'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17209,"ABDULLAYEV, Namig","['AZE', 'AZE']","[['Silver', 'Gold'], [1, 1]]","[['Atlanta', 'Sydney'], [1996, 2000]]","['Wrestling', 'Wrestling']"
17210,"RI, Yong Sam",['PRK'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17211,"CROSS, Kendall Duane",['USA'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17212,"SISSAOURI, Giuvi",['CAN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17213,"TEDEYEV, Elbrus","['UKR', 'UKR']","[['Gold', 'Bronze'], [1, 1]]","[['Athens', 'Atlanta'], [2004, 1996]]","['Wrestling', 'Wrestling']"
17214,"BRANDS, Tom",['USA'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17215,"JANG, Jae-Sung","['KOR', 'KOR']","[['Silver', 'Bronze'], [1, 1]]","[['Atlanta', 'Sydney'], [1996, 2000]]","['Wrestling', 'Wrestling']"
