,Holding City,Date,Sport,Major,Participant,Country,Gender,Event,Event_G,Medal
10905,Tokyo,1964,Athletics,Athletics,"WIECZOREK-CIEPLY, Teresa Barbara",POL,Women,80m hurdles,W,Silver
10908,Tokyo,1964,Athletics,Athletics,"AUN, Rein",URS,Men,decathlon,M,Silver
10911,Tokyo,1964,Athletics,Athletics,"DANEK, Ludvik",TCH,Men,discus throw,M,Silver
10914,Tokyo,1964,Athletics,Athletics,"LOTZ, Ingrid",EUA,Women,discus throw,W,Silver
10917,Tokyo,1964,Athletics,Athletics,"ZSIVOTZKY, Gyula",HUN,Men,hammer throw,M,Silver
10920,Tokyo,1964,Athletics,Athletics,"THOMAS, John Curtis",USA,Men,high jump,M,Silver
10923,Tokyo,1964,Athletics,Athletics,"MASON-BROWN, Michelle Mary",AUS,Women,high jump,W,Silver
10926,Tokyo,1964,Athletics,Athletics,"KULCSAR, Gergely",HUN,Men,javelin throw,M,Silver
10929,Tokyo,1964,Athletics,Athletics,"ANTAL-RUDAS, Marta",HUN,Women,javelin throw,W,Silver
10932,Tokyo,1964,Athletics,Athletics,"BOSTON, Ralph Harold",USA,Men,long jump,M,Silver
10935,Tokyo,1964,Athletics,Athletics,"SZEWINSKA, Irena",POL,Women,long jump,W,Silver
10938,Tokyo,1964,Athletics,Athletics,"HEATLEY, Benjamin Basil",GBR,Men,marathon,M,Silver
10941,Tokyo,1964,Athletics,Athletics,"BIGNAL-RAND, Mary Denise",GBR,Women,pentathlon,W,Silver
10944,Tokyo,1964,Athletics,Athletics,"REINHARDT, Wolfgang",EUA,Men,pole vault,M,Silver
10947,Tokyo,1964,Athletics,Athletics,"MATSON, James Randel",USA,Men,shot put,M,Silver
10950,Tokyo,1964,Athletics,Athletics,"GARISCH-CULMBERGER-BOY, Renate",EUA,Women,shot put,W,Silver
10953,Tokyo,1964,Athletics,Athletics,"FEDOSEEV, Oleg",URS,Men,triple jump,M,Silver
10978,Tokyo,1964,Basketball,Basketball,"ALACHACHAN, Armenak",URS,Men,basketball,M,Silver
10979,Tokyo,1964,Basketball,Basketball,"BAGLEY, Nikolai",URS,Men,basketball,M,Silver
10980,Tokyo,1964,Basketball,Basketball,"KALNYNSH, Yuris",URS,Men,basketball,M,Silver
10981,Tokyo,1964,Basketball,Basketball,"KHRYNIN, Vyacheslav",URS,Men,basketball,M,Silver
10982,Tokyo,1964,Basketball,Basketball,"KORNEEV, Yuri",URS,Men,basketball,M,Silver
10983,Tokyo,1964,Basketball,Basketball,"KRUMINS, Yanis",URS,Men,basketball,M,Silver
10984,Tokyo,1964,Basketball,Basketball,"LIPSO, Yaak",URS,Men,basketball,M,Silver
10985,Tokyo,1964,Basketball,Basketball,"MOSESHVILI, Levan",URS,Men,basketball,M,Silver
10986,Tokyo,1964,Basketball,Basketball,"MUIZHNIEK, Valdis",URS,Men,basketball,M,Silver
10987,Tokyo,1964,Basketball,Basketball,"PETROV, Aleksandr",URS,Men,basketball,M,Silver
10988,Tokyo,1964,Basketball,Basketball,"TRAVIN, Aleksandr",URS,Men,basketball,M,Silver
10989,Tokyo,1964,Basketball,Basketball,"VOLNOV, Gennadi",URS,Men,basketball,M,Silver
10993,Tokyo,1964,Boxing,Boxing,"OLECH, Artur",POL,Men,- 51kg (flyweight),M,Silver
10997,Tokyo,1964,Boxing,Boxing,"HUBER, Hans",EUA,Men,+ 81kg (heavyweight),M,Silver
11001,Tokyo,1964,Boxing,Boxing,"CHUNG, Shin-Cho",KOR,Men,51 - 54kg (bantamweight),M,Silver
11005,Tokyo,1964,Boxing,Boxing,"VILLANUEVA, Anthony N.",PHI,Men,54 - 57kg (featherweight),M,Silver
11009,Tokyo,1964,Boxing,Boxing,"BARANNIKOV, Vellikton",URS,Men,57 - 60kg (lightweight),M,Silver
11013,Tokyo,1964,Boxing,Boxing,"FROLOV, Yevgeni",URS,Men,60 - 63.5kg (light-welterweight),M,Silver
11017,Tokyo,1964,Boxing,Boxing,"TAMULIS, Rikardas",URS,Men,63.5 - 67kg (welterweight),M,Silver
11021,Tokyo,1964,Boxing,Boxing,"GONZALES, Joseph",FRA,Men,67 - 71kg (light-middleweight),M,Silver
11025,Tokyo,1964,Boxing,Boxing,"SCHULZ, Emil",EUA,Men,71-75kg,M,Silver
11029,Tokyo,1964,Boxing,Boxing,"KISELEV, Aleksei",URS,Men,75 - 81kg (light-heavyweight),M,Silver
11032,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"IGOROV, Andrei",ROU,Men,C-1 1000m (canoe single),M,Silver
11037,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"BOUDEHEN, Jean",FRA,Men,C-2 1000m (canoe double),M,Silver
11038,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"CHAPUIS, Michel",FRA,Men,C-2 1000m (canoe double),M,Silver
11041,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"HESZ, Mihaly",HUN,Men,K-1 1000m (kayak single),M,Silver
11044,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"LAUER, Hilde",ROU,Women,K-1 500m (kayak single),W,Silver
11049,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"GEURTS, Antonius Johannes",NED,Men,K-2 1000m (kayak double),M,Silver
11050,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"HOEKSTRA, Paulus Joan",NED,Men,K-2 1000m (kayak double),M,Silver
11055,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"FOX, Francine Anne",USA,Women,K-2 500m (kayak double),W,Silver
11056,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"PERRIER, Glorianne Aurore",USA,Women,K-2 500m (kayak double),W,Silver
11065,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"PERLEBERG, Günther",EUA,Men,K-4 1000m (kayak four),M,Silver
11066,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"SCHULZE, Bernhard",EUA,Men,K-4 1000m (kayak four),M,Silver
11067,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"WENTZKE, Friedhelm",EUA,Men,K-4 1000m (kayak four),M,Silver
11068,Tokyo,1964,Canoe / Kayak,Canoe / Kayak F,"ZANDER, Holger",EUA,Men,K-4 1000m (kayak four),M,Silver
11071,Tokyo,1964,Cycling,Cycling Road,"RODIAN, Kjell Akerstrom-H.",DEN,Men,individual road race,M,Silver
11080,Tokyo,1964,Cycling,Cycling Road,"ANDREOLI, Severino",ITA,Men,team time trial,M,Silver
11081,Tokyo,1964,Cycling,Cycling Road,"DALLA BONA, Luciano",ITA,Men,team time trial,M,Silver
11082,Tokyo,1964,Cycling,Cycling Road,"GUERRA, Pietro",ITA,Men,team time trial,M,Silver
11083,Tokyo,1964,Cycling,Cycling Road,"MANZA, Ferruccio",ITA,Men,team time trial,M,Silver
11086,Tokyo,1964,Cycling,Cycling Track,"PETTENELLA, Giovanni",ITA,Men,1km time trial,M,Silver
11091,Tokyo,1964,Cycling,Cycling Track,"BODNIEKS, Imant",URS,Men,2000m tandem,M,Silver
11092,Tokyo,1964,Cycling,Cycling Track,"LOGUNOV, Viktor",URS,Men,2000m tandem,M,Silver
11095,Tokyo,1964,Cycling,Cycling Track,"URSI, Giorgio",ITA,Men,Individual Pursuit,M,Silver
11098,Tokyo,1964,Cycling,Cycling Track,"BIANCHETTO, Sergio",ITA,Men,Sprint indivual,M,Silver
11107,Tokyo,1964,Cycling,Cycling Track,"MANTOVANI, Vincenzo",ITA,Men,Team Pursuit (4000m),M,Silver
11108,Tokyo,1964,Cycling,Cycling Track,"RANCATI, Carlo",ITA,Men,Team Pursuit (4000m),M,Silver
11109,Tokyo,1964,Cycling,Cycling Track,"RONCAGLIA, Luigi",ITA,Men,Team Pursuit (4000m),M,Silver
11110,Tokyo,1964,Cycling,Cycling Track,"TESTA, Franco",ITA,Men,Team Pursuit (4000m),M,Silver
11113,Tokyo,1964,Equestrian,Dressage,"BOLDT, Harry",EUA,Men,individual,X,Silver
11120,Tokyo,1964,Equestrian,Dressage,"CHAMMARTIN, Henri",SUI,Men,team,X,Silver
11121,Tokyo,1964,Equestrian,Dressage,"FISCHER, Gustav",SUI,Men,team,X,Silver
11122,Tokyo,1964,Equestrian,Dressage,"GOSSWEILER, Marianne",SUI,Women,team,X,Silver
11125,Tokyo,1964,Equestrian,Eventing,"MORATORIO, Carlos Alberto",ARG,Men,individual,X,Silver
11132,Tokyo,1964,Equestrian,Eventing,"FREEMAN, Kevin John",USA,Men,team,X,Silver
11133,Tokyo,1964,Equestrian,Eventing,"PAGE, Michael Owen",USA,Men,team,X,Silver
11134,Tokyo,1964,Equestrian,Eventing,"PLUMB, John Michael",USA,Men,team,X,Silver
11137,Tokyo,1964,Equestrian,Jumping,"SCHRIDDE, Hermann",EUA,Men,individual,X,Silver
11144,Tokyo,1964,Equestrian,Jumping,"JONQUERES D'ORIOLA, Pierre",FRA,Men,team,X,Silver
11145,Tokyo,1964,Equestrian,Jumping,"LEFRANT, Guy Robert Marie",FRA,Men,team,X,Silver
11146,Tokyo,1964,Equestrian,Jumping,"LEFEVRE, Janou",FRA,Women,team,X,Silver
11149,Tokyo,1964,Fencing,Fencing,"HOSKYNS, Henry William Furse",GBR,Men,épée individual,M,Silver
11160,Tokyo,1964,Fencing,Fencing,"BREDA, Giovanni Battista",ITA,Men,épée team,M,Silver
11161,Tokyo,1964,Fencing,Fencing,"DELFINO, Giuseppe",ITA,Men,épée team,M,Silver
11162,Tokyo,1964,Fencing,Fencing,"PAOLUCCI, Gianfranco",ITA,Men,épée team,M,Silver
11163,Tokyo,1964,Fencing,Fencing,"PELLEGRINO, Alberto",ITA,Men,épée team,M,Silver
11164,Tokyo,1964,Fencing,Fencing,"SACCARO, Gianluigi",ITA,Men,épée team,M,Silver
11167,Tokyo,1964,Fencing,Fencing,"MAGNAN, Jean-Claude",FRA,Men,foil individual,M,Silver
11170,Tokyo,1964,Fencing,Fencing,"MEES-VOLZ, Helga Margot",EUA,Women,foil individual,W,Silver
11181,Tokyo,1964,Fencing,Fencing,"FRANKE, Egon",POL,Men,foil team,M,Silver
11182,Tokyo,1964,Fencing,Fencing,"PARULSKI, Ryszard Wladyslaw",POL,Men,foil team,M,Silver
11183,Tokyo,1964,Fencing,Fencing,"ROZYCKI, Jan",POL,Men,foil team,M,Silver
11184,Tokyo,1964,Fencing,Fencing,"SKRUDLIK, Zbigniew",POL,Men,foil team,M,Silver
11185,Tokyo,1964,Fencing,Fencing,"WOYDA, Witold",POL,Men,foil team,M,Silver
11195,Tokyo,1964,Fencing,Fencing,"GOROKHOVA, Galina",URS,Women,foil team,W,Silver
11196,Tokyo,1964,Fencing,Fencing,"PETRENKO-SAMUSENKO, Tatyana",URS,Women,foil team,W,Silver
11197,Tokyo,1964,Fencing,Fencing,"PRUDSKOVA, Valentina",URS,Women,foil team,W,Silver
11198,Tokyo,1964,Fencing,Fencing,"RASTVOROVA, Valentina",URS,Women,foil team,W,Silver
11199,Tokyo,1964,Fencing,Fencing,"SHISHOVA, Lyudmila",URS,Women,foil team,W,Silver
11202,Tokyo,1964,Fencing,Fencing,"ARABO, Claude",FRA,Men,sabre individual,M,Silver
11213,Tokyo,1964,Fencing,Fencing,"CALANCHINI, Giampaolo",ITA,Men,sabre team,M,Silver
11214,Tokyo,1964,Fencing,Fencing,"CALARESE, Wladimiro",ITA,Men,sabre team,M,Silver
11215,Tokyo,1964,Fencing,Fencing,"CHICCA, Pierluigi",ITA,Men,sabre team,M,Silver
11216,Tokyo,1964,Fencing,Fencing,"RAVAGNAN, Mario",ITA,Men,sabre team,M,Silver
11217,Tokyo,1964,Fencing,Fencing,"SALVADORI, Cesare",ITA,Men,sabre team,M,Silver
11251,Tokyo,1964,Football,Football,"BRUMOWSKY, Jan",TCH,Men,football,M,Silver
11252,Tokyo,1964,Football,Football,"CVETLER, Ludevit",TCH,Men,football,M,Silver
11253,Tokyo,1964,Football,Football,"GELETA, Jan",TCH,Men,football,M,Silver
11254,Tokyo,1964,Football,Football,"KNEBORT, Frantisek",TCH,Men,football,M,Silver
11255,Tokyo,1964,Football,Football,"KNESL, Karel",TCH,Men,football,M,Silver
11256,Tokyo,1964,Football,Football,"LICHTNEGL, Karel",TCH,Men,football,M,Silver
11257,Tokyo,1964,Football,Football,"MASNY, Vojtech",TCH,Men,football,M,Silver
11258,Tokyo,1964,Football,Football,"MATLAK, Stefan",TCH,Men,football,M,Silver
11259,Tokyo,1964,Football,Football,"MRAZ, Ivan",TCH,Men,football,M,Silver
11260,Tokyo,1964,Football,Football,"NEPOMUCKY, Karel",TCH,Men,football,M,Silver
11261,Tokyo,1964,Football,Football,"PICMAN, Karel Zdenek",TCH,Men,football,M,Silver
11262,Tokyo,1964,Football,Football,"SCHMUCKER, Frantisek",TCH,Men,football,M,Silver
11263,Tokyo,1964,Football,Football,"SVAJLEN, Antonin",TCH,Men,football,M,Silver
11264,Tokyo,1964,Football,Football,"URBAN, Antonin",TCH,Men,football,M,Silver
11265,Tokyo,1964,Football,Football,"VALOSEK, Frantisek",TCH,Men,football,M,Silver
11266,Tokyo,1964,Football,Football,"VOJTA, Josef",TCH,Men,football,M,Silver
11267,Tokyo,1964,Football,Football,"WEISS, Vladimir",TCH,Men,football,M,Silver
11270,Tokyo,1964,Gymnastics,Artistic G.,"MANINA, Tamara",URS,Women,balance beam,W,Silver
11272,Tokyo,1964,Gymnastics,Artistic G.,"ENDO, Yukio",JPN,Men,floor exercises,M,Silver
11273,Tokyo,1964,Gymnastics,Artistic G.,"LISITSKY, Viktor",URS,Men,floor exercises,M,Silver
11276,Tokyo,1964,Gymnastics,Artistic G.,"ASTAKHOVA, Polina",URS,Women,floor exercises,W,Silver
11279,Tokyo,1964,Gymnastics,Artistic G.,"TITOV, Yuri",URS,Men,horizontal bar,M,Silver
11281,Tokyo,1964,Gymnastics,Artistic G.,"LISITSKY, Viktor",URS,Men,individual all-round,M,Silver
11282,Tokyo,1964,Gymnastics,Artistic G.,"SHAKHLIN, Boris",URS,Men,individual all-round,M,Silver
11283,Tokyo,1964,Gymnastics,Artistic G.,"TSURUMI, Shuji",JPN,Men,individual all-round,M,Silver
11286,Tokyo,1964,Gymnastics,Artistic G.,"LATYNINA, Larisa",URS,Women,individual all-round,W,Silver
11289,Tokyo,1964,Gymnastics,Artistic G.,"TSURUMI, Shuji",JPN,Men,parallel bars,M,Silver
11292,Tokyo,1964,Gymnastics,Artistic G.,"TSURUMI, Shuji",JPN,Men,pommel horse,M,Silver
11295,Tokyo,1964,Gymnastics,Artistic G.,"MENICHELLI, Franco",ITA,Men,rings,M,Silver
11308,Tokyo,1964,Gymnastics,Artistic G.,"DIOMIDOV, Sergei",URS,Men,team competition,M,Silver
11309,Tokyo,1964,Gymnastics,Artistic G.,"LEONTYEV, Viktor",URS,Men,team competition,M,Silver
11310,Tokyo,1964,Gymnastics,Artistic G.,"LISITSKY, Viktor",URS,Men,team competition,M,Silver
11311,Tokyo,1964,Gymnastics,Artistic G.,"SHAKHLIN, Boris",URS,Men,team competition,M,Silver
11312,Tokyo,1964,Gymnastics,Artistic G.,"TITOV, Yuri",URS,Men,team competition,M,Silver
11313,Tokyo,1964,Gymnastics,Artistic G.,"TSAPENKO, Yuri",URS,Men,team competition,M,Silver
11326,Tokyo,1964,Gymnastics,Artistic G.,"CASLAVSKA, Vera",TCH,Women,team competition,W,Silver
11327,Tokyo,1964,Gymnastics,Artistic G.,"KRAJCIROVA-NEMETHOVA, Mariana",TCH,Women,team competition,W,Silver
11328,Tokyo,1964,Gymnastics,Artistic G.,"POSNEROVA-KUBICKOVA, Jana",TCH,Women,team competition,W,Silver
11329,Tokyo,1964,Gymnastics,Artistic G.,"RUZICKOVA, Hana",TCH,Women,team competition,W,Silver
11330,Tokyo,1964,Gymnastics,Artistic G.,"SEDLACKOVA, Jaroslava",TCH,Women,team competition,W,Silver
11331,Tokyo,1964,Gymnastics,Artistic G.,"TACOVA-TKACIKOVA, Adolfina",TCH,Women,team competition,W,Silver
11334,Tokyo,1964,Gymnastics,Artistic G.,"MAKRAY-SCHMITT, Katalin",HUN,Women,uneven bars,W,Silver
11337,Tokyo,1964,Gymnastics,Artistic G.,"LISITSKY, Viktor",URS,Men,vault,M,Silver
11339,Tokyo,1964,Gymnastics,Artistic G.,"LATYNINA, Larisa",URS,Women,vault,W,Silver
11340,Tokyo,1964,Gymnastics,Artistic G.,"RADOCHLA, Birgit",EUA,Women,vault,W,Silver
11370,Tokyo,1964,Hockey,Hockey,"ABDUL, Hamid",PAK,Men,hockey,M,Silver
11371,Tokyo,1964,Hockey,Hockey,"ASAD, Muhammad",PAK,Men,hockey,M,Silver
11372,Tokyo,1964,Hockey,Hockey,"DAR, Munir Ahmad",PAK,Men,hockey,M,Silver
11373,Tokyo,1964,Hockey,Hockey,"KHALID, Mahmud",PAK,Men,hockey,M,Silver
11374,Tokyo,1964,Hockey,Hockey,"KHAN, Anwar Ahmad",PAK,Men,hockey,M,Silver
11375,Tokyo,1964,Hockey,Hockey,"KHIZAR, Nawaz",PAK,Men,hockey,M,Silver
11376,Tokyo,1964,Hockey,Hockey,"KHURSHID, Azam",PAK,Men,hockey,M,Silver
11377,Tokyo,1964,Hockey,Hockey,"MANNA, Muhammad Afzal",PAK,Men,hockey,M,Silver
11378,Tokyo,1964,Hockey,Hockey,"MANZOOR, Hussain Atif",PAK,Men,hockey,M,Silver
11379,Tokyo,1964,Hockey,Hockey,"MUHAMMAD, Rashid",PAK,Men,hockey,M,Silver
11380,Tokyo,1964,Hockey,Hockey,"MUTTI, Ullah",PAK,Men,hockey,M,Silver
11381,Tokyo,1964,Hockey,Hockey,"NIAZI, Tariq",PAK,Men,hockey,M,Silver
11382,Tokyo,1964,Hockey,Hockey,"SAEED, Anwar",PAK,Men,hockey,M,Silver
11383,Tokyo,1964,Hockey,Hockey,"TARIQ, Aziz",PAK,Men,hockey,M,Silver
11384,Tokyo,1964,Hockey,Hockey,"ZAFAR, Hayat",PAK,Men,hockey,M,Silver
11385,Tokyo,1964,Hockey,Hockey,"ZAKA, Uddin",PAK,Men,hockey,M,Silver
11389,Tokyo,1964,Judo,Judo,"HÄNNI, Eric",SUI,Men,- 68kg (lightweight),M,Silver
11393,Tokyo,1964,Judo,Judo,"ROGERS, Alfred Harold Douglas",CAN,Men,+ 80kg (heavyweight),M,Silver
11397,Tokyo,1964,Judo,Judo,"HOFMANN, Wolfgang",EUA,Men,68 - 80kg (middleweight),M,Silver
11401,Tokyo,1964,Judo,Judo,"KAMINAGA, Akio",JPN,Men,open category,M,Silver
11404,Tokyo,1964,Modern Pentathlon,Modern Pentath.,"NOVIKOV, Igor",URS,Men,Individual competition,M,Silver
11411,Tokyo,1964,Modern Pentathlon,Modern Pentath.,"KIRKWOOD, David Archer",USA,Men,Team competition,M,Silver
11412,Tokyo,1964,Modern Pentathlon,Modern Pentath.,"MOORE, James Warren",USA,Men,Team competition,M,Silver
11413,Tokyo,1964,Modern Pentathlon,Modern Pentath.,"PESTHY, Paul Karoly",USA,Men,Team competition,M,Silver
11418,Tokyo,1964,Rowing,Rowing,"BLAISSE, Steven Joseph",NED,Men,coxless pair (2-),M,Silver
11419,Tokyo,1964,Rowing,Rowing,"VEENEMANS, Ernest Willem",NED,Men,coxless pair (2-),M,Silver
11424,Tokyo,1964,Rowing,Rowing,"CROMWELL, Seymour Legrand II",USA,Men,double sculls (2x),M,Silver
11425,Tokyo,1964,Rowing,Rowing,"STORM, James Eugene",USA,Men,double sculls (2x),M,Silver
11444,Tokyo,1964,Rowing,Rowing,"AEFFKE, Klaus",EUA,Men,eight with coxswain (8+),M,Silver
11445,Tokyo,1964,Rowing,Rowing,"AHRENS, Thomas",EUA,Men,eight with coxswain (8+),M,Silver
11446,Tokyo,1964,Rowing,Rowing,"BEHRENS, Klaus",EUA,Men,eight with coxswain (8+),M,Silver
11447,Tokyo,1964,Rowing,Rowing,"BITTNER, Klaus",EUA,Men,eight with coxswain (8+),M,Silver
11448,Tokyo,1964,Rowing,Rowing,"MEYER, Horst",EUA,Men,eight with coxswain (8+),M,Silver
11449,Tokyo,1964,Rowing,Rowing,"PLAGEMANN, Jürgen",EUA,Men,eight with coxswain (8+),M,Silver
11450,Tokyo,1964,Rowing,Rowing,"SCHROEDER, Jürgen",EUA,Men,eight with coxswain (8+),M,Silver
11451,Tokyo,1964,Rowing,Rowing,"VON GRODDECK, Karl-Heinrich",EUA,Men,eight with coxswain (8+),M,Silver
11452,Tokyo,1964,Rowing,Rowing,"WALLBRECHT, Hans-Jürgen",EUA,Men,eight with coxswain (8+),M,Silver
11461,Tokyo,1964,Rowing,Rowing,"BARRY, William Louis",GBR,Men,four without coxswain (4-),M,Silver
11462,Tokyo,1964,Rowing,Rowing,"JAMES, John Jesse",GBR,Men,four without coxswain (4-),M,Silver
11463,Tokyo,1964,Rowing,Rowing,"RUSSELL, John Michael",GBR,Men,four without coxswain (4-),M,Silver
11464,Tokyo,1964,Rowing,Rowing,"WARDELL-YERBURGH, Hugh Arthur",GBR,Men,four without coxswain (4-),M,Silver
11475,Tokyo,1964,Rowing,Rowing,"BOSATTA, Renato",ITA,Men,four-oared shell with coxswain (4-),M,Silver
11476,Tokyo,1964,Rowing,Rowing,"DE PEDRINA, Franco",ITA,Men,four-oared shell with coxswain (4-),M,Silver
11477,Tokyo,1964,Rowing,Rowing,"GALANTE, Giuseppe",ITA,Men,four-oared shell with coxswain (4-),M,Silver
11478,Tokyo,1964,Rowing,Rowing,"SPINOLA, Giovanni",ITA,Men,four-oared shell with coxswain (4-),M,Silver
11479,Tokyo,1964,Rowing,Rowing,"TRIVINI, Emilio",ITA,Men,four-oared shell with coxswain (4-),M,Silver
11486,Tokyo,1964,Rowing,Rowing,"DEROUY, Jean-Claude",FRA,Men,pair-oared shell with coxswain (2+),M,Silver
11487,Tokyo,1964,Rowing,Rowing,"MOREL, Georges",FRA,Men,pair-oared shell with coxswain (2+),M,Silver
11488,Tokyo,1964,Rowing,Rowing,"MOREL, Jacques",FRA,Men,pair-oared shell with coxswain (2+),M,Silver
11491,Tokyo,1964,Rowing,Rowing,"HILL, Achim",EUA,Men,single sculls (1x),M,Silver
11498,Tokyo,1964,Sailing,Sailing,"KARLSSON, Arne",SWE,Men,5.5m,X,Silver
11499,Tokyo,1964,Sailing,Sailing,"STORK, Sture",SWE,Men,5.5m,X,Silver
11500,Tokyo,1964,Sailing,Sailing,"THÖRN, Lars",SWE,Men,5.5m,X,Silver
11507,Tokyo,1964,Sailing,Sailing,"AHRENDT, Peter",EUA,Men,dragon,X,Silver
11508,Tokyo,1964,Sailing,Sailing,"LORENZ, Wilfred",EUA,Men,dragon,X,Silver
11509,Tokyo,1964,Sailing,Sailing,"MENSE, Ulrich",EUA,Men,dragon,X,Silver
11514,Tokyo,1964,Sailing,Sailing,"MORGAN, Anthony William Crawfort",GBR,Men,flying dutchman,X,Silver
11515,Tokyo,1964,Sailing,Sailing,"MUSTO, Franklyn Keith",GBR,Men,flying dutchman,X,Silver
11518,Tokyo,1964,Sailing,Sailing,"BARRETT, Peter Jones",USA,Men,single-handed dinghy (Finn),M,Silver
11523,Tokyo,1964,Sailing,Sailing,"STEARNS, Richard Irving",USA,Men,two-person keelboat open (Star),X,Silver
11524,Tokyo,1964,Sailing,Sailing,"WILLIAMS, Lynn Alfred III",USA,Men,two-person keelboat open (Star),X,Silver
11527,Tokyo,1964,Shooting,Shooting,"TRIPSA, Ion",ROU,Men,25m rapid fire pistol (60 shots),M,Silver
11530,Tokyo,1964,Shooting,Shooting,"KVELIASHVILI, Shota",URS,Men,300m free rifle 3 positions (3x40 shots),M,Silver
11533,Tokyo,1964,Shooting,Shooting,"GREEN, Franklin Crawford",USA,Men,50m pistol (60 shots),M,Silver
11536,Tokyo,1964,Shooting,Shooting,"CHRISTOV, Velitchko",BUL,Men,50m rifle 3 positions (3x40 shots),M,Silver
11539,Tokyo,1964,Shooting,Shooting,"WIGGER, Lones Wesley Jr.",USA,Men,50m rifle prone (60 shots),M,Silver
11542,Tokyo,1964,Shooting,Shooting,"SENICHEV, Pavel",URS,Men,trap (125 targets),M,Silver
11567,Tokyo,1964,Volleyball,Volleyball,"CUDA, Milan",TCH,Men,volleyball,M,Silver
11568,Tokyo,1964,Volleyball,Volleyball,"GOLIAN, Bohumil",TCH,Men,volleyball,M,Silver
11569,Tokyo,1964,Volleyball,Volleyball,"HUMHAL, Zdenek",TCH,Men,volleyball,M,Silver
11570,Tokyo,1964,Volleyball,Volleyball,"KOP, Petr",TCH,Men,volleyball,M,Silver
11571,Tokyo,1964,Volleyball,Volleyball,"LABUDA, Josef",TCH,Men,volleyball,M,Silver
11572,Tokyo,1964,Volleyball,Volleyball,"MUSIL, Josef",TCH,Men,volleyball,M,Silver
11573,Tokyo,1964,Volleyball,Volleyball,"PAULUS, Karel",TCH,Men,volleyball,M,Silver
11574,Tokyo,1964,Volleyball,Volleyball,"PERUSIC, Boris",TCH,Men,volleyball,M,Silver
11575,Tokyo,1964,Volleyball,Volleyball,"SCHENK, Pavel",TCH,Men,volleyball,M,Silver
11576,Tokyo,1964,Volleyball,Volleyball,"SMIDL, Vaclav",TCH,Men,volleyball,M,Silver
11577,Tokyo,1964,Volleyball,Volleyball,"SORM, Josef",TCH,Men,volleyball,M,Silver
11578,Tokyo,1964,Volleyball,Volleyball,"TOMAN, Ladislav",TCH,Men,volleyball,M,Silver
11603,Tokyo,1964,Volleyball,Volleyball,"ABRAMOVA, Nelli",URS,Women,volleyball,W,Silver
11604,Tokyo,1964,Volleyball,Volleyball,"BILTAUER, Astra",URS,Women,volleyball,W,Silver
11605,Tokyo,1964,Volleyball,Volleyball,"BULDAKOVA, Lyudmila",URS,Women,volleyball,W,Silver
11606,Tokyo,1964,Volleyball,Volleyball,"GUREEVA, Lyudmila",URS,Women,volleyball,W,Silver
11607,Tokyo,1964,Volleyball,Volleyball,"KAMENEK-VINOGRADOVA, Valentina",URS,Women,volleyball,W,Silver
11608,Tokyo,1964,Volleyball,Volleyball,"KATUSHEVA, Marita",URS,Women,volleyball,W,Silver
11609,Tokyo,1964,Volleyball,Volleyball,"LUKANINA, Ninel",URS,Women,volleyball,W,Silver
11610,Tokyo,1964,Volleyball,Volleyball,"MISHAK, Valentina",URS,Women,volleyball,W,Silver
11611,Tokyo,1964,Volleyball,Volleyball,"ROSHCHINA, Tatyana",URS,Women,volleyball,W,Silver
11612,Tokyo,1964,Volleyball,Volleyball,"RYSKAL, Inna",URS,Women,volleyball,W,Silver
11613,Tokyo,1964,Volleyball,Volleyball,"RYZHOVA, Antonina",URS,Women,volleyball,W,Silver
11614,Tokyo,1964,Volleyball,Volleyball,"TIKHONINA, Tamara",URS,Women,volleyball,W,Silver
11617,Tokyo,1964,Weightlifting,Weightlifting,"FÖLDI, Imre",HUN,Men,"- 56kg, total (bantamweight)",M,Silver
11620,Tokyo,1964,Weightlifting,Weightlifting,"VLASOV, Yuri",URS,Men,"+ 90kg, total (heavyweight)",M,Silver
11623,Tokyo,1964,Weightlifting,Weightlifting,"BERGER, Isaac",USA,Men,"56 - 60kg, total (featherweight)",M,Silver
11626,Tokyo,1964,Weightlifting,Weightlifting,"KAPLUNOV, Vladimir",URS,Men,"60 - 67.5kg, total (lightweight)",M,Silver
11629,Tokyo,1964,Weightlifting,Weightlifting,"KURENTSOV, Viktor",URS,Men,"67.5 - 75kg, total (middleweight)",M,Silver
11632,Tokyo,1964,Weightlifting,Weightlifting,"TOTH, Geza",HUN,Men,"75 - 82.5kg, total (light-heavyweight)",M,Silver
11635,Tokyo,1964,Weightlifting,Weightlifting,"MARTIN, Louis George",GBR,Men,"82.5 - 90kg, total (middle-heavyweight)",M,Silver
