,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
11211,18,14,11,15,10739,93,0,421,0,1
9836,14,13,0,35,2039,83,1,131,1,2
13893,12,16,36,46,9290,93,0,246,0,2
6343,4,9,0,35,13648,95,0,54,0,2
9361,8,12,11,15,7935,48,0,355,0,1
12999,12,16,2,2,11371,93,1,259,1,2
18868,15,20,14,1,423,93,0,379,0,1
7163,4,9,36,45,14876,40,0,30,0,1
8741,5,11,25,31,13606,97,0,360,0,1
19497,15,20,33,41,3684,68,1,460,1,2
6537,4,9,3,3,1347,58,0,314,0,0
1455,6,3,14,1,9483,83,0,440,0,1
10420,14,13,14,1,11925,93,0,459,0,1
13994,10,17,0,35,13959,95,0,142,0,1
5725,7,8,0,12,10806,95,1,124,1,2
12805,12,16,0,35,1727,93,0,141,0,2
13707,12,16,27,33,3941,95,0,449,2,0
18709,15,20,10,24,3355,31,0,438,2,0
9150,8,12,3,3,5575,95,0,314,0,1
9853,14,13,0,35,3709,95,0,142,0,1
13202,12,16,9,11,6767,64,0,283,0,1
16088,11,18,16,20,202,42,0,370,0,1
8512,5,11,12,17,2577,40,0,359,0,1
7840,6,10,25,31,8952,64,0,343,0,0
2462,17,4,14,1,8284,21,0,443,0,2
6546,4,9,3,3,9915,58,0,314,0,0
6910,4,9,15,19,1545,35,0,364,0,1
12884,12,16,0,43,4852,40,0,461,0,2
18718,15,20,10,24,7163,95,1,438,2,2
19969,3,21,2,2,12999,51,0,259,0,1
19147,15,20,21,26,8375,48,0,300,0,2
6310,7,8,36,46,9501,48,0,30,0,2
13699,12,16,27,33,2747,33,0,353,2,1
14926,10,17,25,31,7058,93,1,361,1,0
17339,7,19,12,17,3774,10,0,359,0,2
15580,11,18,3,3,1252,11,1,314,1,2
10307,14,13,12,17,2682,40,0,359,0,0
793,16,2,2,2,12465,95,0,369,0,2
11515,18,14,27,33,9171,33,0,353,2,2
12157,9,15,10,13,6718,32,0,374,2,0
9444,8,12,14,1,6421,40,1,352,1,1
